Substructure,Frequency0,OccurrenceList0
[CH:4][O:5][CH:6]([CH:7][O:10][CH:11][OH:12])[CH:15][OH:16],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:7]([CH2:8][OH:9])[O:10][CH:11][OH:12],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:7][O:10][CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:15]([CH:13]([CH:11][OH:12])[OH:14])[OH:16],1,"0,0,0,0,1"
[O:5][CH:6]1[CH:7][O:10][CH:11]([OH:12])[CH:13]([OH:14])[CH:15]1[OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7]([CH2:8][OH:9])[O:10])[CH:15]([CH:13][OH:14])[OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7]([CH2:8][OH:9])[O:10][CH:11][OH:12])[CH:15][OH:16],1,"0,0,0,0,1"
[O:5][CH:6][CH:7]([CH2:8][OH:9])[O:10][CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[CH:7]([CH2:8][OH:9])[O:10][CH:11]([OH:12])[CH:13]([OH:14])[CH:15][OH:16],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3][CH:4]([O:5][CH:6])[CH:17][OH:18])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]1[O:3][CH:4]([O:5])[CH:17]([OH:18])[CH:19]([OH:20])[CH:21]1[OH:22],1,"0,0,0,0,1"
