Substructure,Frequency1,OccurrenceList1
C,4,"1,1,1,1"
S,4,"1,1,1,1"
N,4,"1,1,1,1"
C=O,4,"1,1,1,1"
c,3,"1,1,1,0"
O=CO,3,"1,1,1,0"
CC,4,"1,1,1,1"
CS,4,"1,1,1,1"
CN,4,"1,1,1,1"
CC=O,4,"1,1,1,1"
NC=O,4,"1,1,1,1"
cC,3,"1,1,1,0"
cc,3,"1,1,1,0"
CC(=O)O,3,"1,1,1,0"
CCC,4,"1,1,1,1"
CCS,4,"1,1,1,1"
CSC,4,"1,1,1,1"
CCN,4,"1,1,1,1"
CCC(=O)O,2,"1,0,1,0"
NCS,3,"1,1,1,0"
CCC=O,4,"1,1,1,1"
CNC=O,4,"1,1,1,1"
CNC,4,"1,1,1,1"
NCC=O,4,"1,1,1,1"
CC(N)=O,4,"1,1,1,1"
cCC=O,3,"1,1,1,0"
cCN,2,"1,1,0,0"
ccC,3,"1,1,1,0"
ccc,3,"1,1,1,0"
NCC(=O)O,3,"1,1,1,0"
CC(C)S,2,"1,0,1,0"
CC(C)C,3,"1,0,1,1"
CCSC,4,"1,1,1,1"
CCCN,3,"1,0,1,1"
CCCC(=O)O,2,"1,0,1,0"
NCCS,3,"1,1,1,0"
O=C(O)CCS,2,"1,0,1,0"
CSCN,3,"1,1,1,0"
CCNC=O,4,"1,1,1,1"
CCNC,3,"1,0,1,1"
CC(N)C(=O)O,2,"1,0,1,0"
CC(N)S,3,"1,1,1,0"
O=CCCS,3,"1,1,1,0"
O=CNCS,3,"1,1,1,0"
CNCS,3,"1,1,1,0"
NCCN,3,"1,1,1,0"
O=C1CCN1,3,"1,1,1,0"
CC(N)C=O,4,"1,1,1,1"
CN(C)C=O,3,"1,1,1,0"
CNCC(=O)O,3,"1,1,1,0"
O=CCNC=O,3,"1,1,1,0"
NCC(N)=O,4,"1,1,1,1"
CNC(C)=O,4,"1,1,1,1"
cCC(N)=O,3,"1,1,1,0"
cC(N)C=O,2,"1,1,0,0"
ccCC=O,3,"1,1,1,0"
ccCN,2,"1,1,0,0"
cc(c)C,3,"1,1,1,0"
cccC,3,"1,1,1,0"
cccc,3,"1,1,1,0"
O=CNCC(=O)O,3,"1,1,1,0"
CC(C)(C)S,2,"1,0,1,0"
CSC(C)C,2,"1,0,1,0"
CC(C)CN,3,"1,0,1,1"
CC(C)CC(=O)O,2,"1,0,1,0"
CC(S)CN,2,"1,0,1,0"
CC(S)CC(=O)O,2,"1,0,1,0"
CCSCC,3,"1,1,1,0"
CCSCN,3,"1,1,1,0"
CCCNC=O,3,"1,0,1,1"
CCCNC,3,"1,0,1,1"
CCC(N)C(=O)O,2,"1,0,1,0"
C1CSCN1,2,"1,0,1,0"
CSCCC(=O)O,2,"1,0,1,0"
O=CNCCS,3,"1,1,1,0"
NC(CS)C(=O)O,2,"1,0,1,0"
CSC(C)N,3,"1,1,1,0"
CSCCN,3,"1,1,1,0"
CSCCC=O,3,"1,1,1,0"
CSCNC=O,3,"1,1,1,0"
CCNC(C)=O,4,"1,1,1,1"
CCN(C)C=O,2,"1,0,1,0"
CC(NC=O)C(=O)O,2,"1,0,1,0"
CCNCC,2,"1,0,1,0"
CNC(C)C(=O)O,2,"1,0,1,0"
NCC(N)S,3,"1,1,1,0"
O=C1CC(S)N1,3,"1,1,1,0"
CNC(C)S,3,"1,1,1,0"
NC(C=O)CS,3,"1,1,1,0"
CN(C=O)CS,3,"1,1,1,0"
O=C(O)CNCS,3,"1,1,1,0"
NC1CNC1=O,3,"1,1,1,0"
NCCNC=O,3,"1,1,1,0"
CNCCN,3,"1,1,1,0"
CN1CCC1=O,3,"1,1,1,0"
CCNCC(=O)O,3,"1,1,1,0"
CC(C=O)NC=O,3,"1,1,1,0"
CN(C=O)CC(=O)O,2,"1,0,1,0"
CC(=O)NCC=O,3,"1,1,1,0"
NC(=O)CNC=O,3,"1,1,1,0"
CNC(=O)CN,4,"1,1,1,1"
cCC(=O)NC,3,"1,1,1,0"
CC(=O)NCC(=O)O,3,"1,1,1,0"
cC(N)C(N)=O,2,"1,1,0,0"
ccCC(N)=O,3,"1,1,1,0"
ccC(N)C=O,2,"1,1,0,0"
cc(c)CC=O,3,"1,1,1,0"
cccCC=O,3,"1,1,1,0"
cc(c)CN,2,"1,1,0,0"
cccCN,2,"1,1,0,0"
ccc(c)C,3,"1,1,1,0"
ccccC,3,"1,1,1,0"
ccccc,3,"1,1,1,0"
CSC(C)(C)C,2,"1,0,1,0"
CC(C)(S)CN,2,"1,0,1,0"
CC(C)(S)CC(=O)O,2,"1,0,1,0"
CCSC(C)C,2,"1,0,1,0"
CC(C)SCN,2,"1,0,1,0"
CC(C)CNC=O,2,"1,0,1,0"
CNCC(C)C,3,"1,0,1,1"
CC(C)C(N)C(=O)O,2,"1,0,1,0"
CC1CNCS1,2,"1,0,1,0"
CSC(C)CC(=O)O,2,"1,0,1,0"
CC(S)CNC=O,2,"1,0,1,0"
CC(S)C(N)C(=O)O,2,"1,0,1,0"
CCSC(C)N,3,"1,1,1,0"
CCSCCN,3,"1,1,1,0"
CCSCCC=O,3,"1,1,1,0"
CCSCNC=O,3,"1,1,1,0"
CCCNC(C)=O,3,"1,0,1,1"
CCCN(C)C=O,2,"1,0,1,0"
CCC(NC=O)C(=O)O,2,"1,0,1,0"
CCCNCC,2,"1,0,1,0"
CCC(NC)C(=O)O,2,"1,0,1,0"
CC1NCCS1,2,"1,0,1,0"
CCSCCC(=O)O,2,"1,0,1,0"
O=CN1CCSC1,2,"1,0,1,0"
O=C(O)C1CSCN1,2,"1,0,1,0"
CC(=O)NCCS,3,"1,1,1,0"
O=CNC(CS)C(=O)O,2,"1,0,1,0"
CSC(N)CN,3,"1,1,1,0"
CSC1CC(=O)N1,3,"1,1,1,0"
CSCC(N)C=O,3,"1,1,1,0"
CSCCNC=O,3,"1,1,1,0"
CCN1CCC1=O,2,"1,0,1,0"
CCNC(=O)CN,4,"1,1,1,1"
CC(=O)NC(C)C(=O)O,2,"1,0,1,0"
CC(C(=O)O)N(C)C=O,2,"1,0,1,0"
CCNCCN,2,"1,0,1,0"
CCNC(C)C(=O)O,2,"1,0,1,0"
NC1C(=O)NC1S,3,"1,1,1,0"
NC(S)CNC=O,3,"1,1,1,0"
CNC(S)CN,3,"1,1,1,0"
CN1C(=O)CC1S,3,"1,1,1,0"
CC(S)NCC(=O)O,3,"1,1,1,0"
O=CNC(C=O)CS,3,"1,1,1,0"
O=CN(CS)CC(=O)O,2,"1,0,1,0"
O=CNC1CNC1=O,3,"1,1,1,0"
CN1CC(N)C1=O,3,"1,1,1,0"
CC(=O)NCCN,3,"1,1,1,0"
CNCCNC=O,3,"1,1,1,0"
NCCNCC(=O)O,3,"1,1,1,0"
O=C(O)CN1CCC1=O,3,"1,1,1,0"
CC(=O)NC(C)C=O,3,"1,1,1,0"
cCC(=O)NCC,3,"1,1,1,0"
NCC(=O)NCC=O,2,"1,1,0,0"
cCC(=O)NCC=O,3,"1,1,1,0"
CC(=O)NCC(N)=O,3,"1,1,1,0"
CNC(=O)CNC=O,3,"1,1,1,0"
NCC(=O)NCC(=O)O,3,"1,1,1,0"
cC(N)C(=O)NC,2,"1,1,0,0"
ccCC(=O)NC,3,"1,1,1,0"
ccC(N)C(N)=O,2,"1,1,0,0"
cc(c)CC(N)=O,3,"1,1,1,0"
cccCC(N)=O,3,"1,1,1,0"
cc(c)C(N)C=O,2,"1,1,0,0"
cccC(N)C=O,2,"1,1,0,0"
ccc(c)CC=O,3,"1,1,1,0"
ccccCC=O,3,"1,1,1,0"
ccc(c)CN,2,"1,1,0,0"
ccccCN,2,"1,1,0,0"
cccc(c)C,3,"1,1,1,0"
ccc(C)cc,3,"1,1,1,0"
cccccC,3,"1,1,1,0"
c1ccccc1,3,"1,1,1,0"
CCSC(C)(C)C,2,"1,0,1,0"
CC1(C)CNCS1,2,"1,0,1,0"
CSC(C)(C)CC(=O)O,2,"1,0,1,0"
CC(C)(S)CNC=O,2,"1,0,1,0"
CC(C)(S)C(N)C(=O)O,2,"1,0,1,0"
CC(C)SC(C)N,2,"1,0,1,0"
CC(C)SCCN,2,"1,0,1,0"
CC(C)SCCC=O,2,"1,0,1,0"
CC(C)SCNC=O,2,"1,0,1,0"
CC(=O)NCC(C)C,2,"1,0,1,0"
CC(C)CN(C)C=O,2,"1,0,1,0"
CC(C)C(NC=O)C(=O)O,2,"1,0,1,0"
CCNCC(C)C,2,"1,0,1,0"
CNC(C(=O)O)C(C)C,2,"1,0,1,0"
CC1CNC(C)S1,2,"1,0,1,0"
CCSC(C)CC(=O)O,2,"1,0,1,0"
CC1CN(C=O)CS1,2,"1,0,1,0"
CC1SCNC1C(=O)O,2,"1,0,1,0"
CC(=O)NCC(C)S,2,"1,0,1,0"
CC(S)C(NC=O)C(=O)O,2,"1,0,1,0"
CCSC(N)CN,3,"1,1,1,0"
CCSC1CC(=O)N1,3,"1,1,1,0"
CCSCC(N)C=O,3,"1,1,1,0"
CCSCCNC=O,3,"1,1,1,0"
CCCN1CCC1=O,2,"1,0,1,0"
CCCNC(=O)CN,3,"1,0,1,1"
CCC(NC(C)=O)C(=O)O,2,"1,0,1,0"
CCC(C(=O)O)N(C)C=O,2,"1,0,1,0"
CCCNCCN,2,"1,0,1,0"
